,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,Season,avg_temp
4606,59304,Cotton(lint),2011,26602,1761,Kharif     ,18.82
4607,9752,Dry chillies,2011,26602,1761,Kharif     ,25.89
4608,53,Dry ginger,2011,26602,1761,Kharif     ,24.32
4609,2079,Groundnut,2011,26602,1761,Kharif     ,25.28
4610,8,Jowar,2011,96414,1761,Kharif     ,21.74
4611,547,Lemon,2011,96414,1761,Kharif     ,20.33
4612,7321,Maize,2011,96414,1761,Kharif     ,18.01
4613,57493,Mango,2011,96414,1761,Kharif     ,18.01
4614,3135,Moong(Green Gram),2011,96414,1761,Kharif     ,27.36
4615,4771,other oilseeds,2011,96414,1761,Kharif     ,20.33
4616,70,Papaya,2011,96414,1761,Kharif     ,27.29
4617,264371,Rice,2011,96414,1761,Kharif     ,18.82
4618,518,Sapota,2011,96414,1761,Kharif     ,25.89
4619,217,Sesamum,2011,96414,1761,Kharif     ,24.32
4620,16123,Sugarcane,2011,96414,1761,Kharif     ,25.28
4621,545,Tomato,2012,136118,1761,Kharif     ,22.16
4622,2130,Turmeric,2012,136118,1761,Kharif     ,21.02
4623,1062,Urad,2012,136118,1761,Kharif     ,18.8
4624,591,Brinjal,2012,136118,1761,Rabi       ,18.8
4625,79,Cabbage,2012,136118,1761,Rabi       ,28.21
4626,20,Castor seed,2012,136118,1761,Rabi       ,21.02
4627,1001,Dry chillies,2012,136118,1761,Rabi       ,27.34
4628,1072,Gram,2012,136118,1761,Rabi       ,19.72
4629,1947,Groundnut,2012,136118,1761,Rabi       ,26.13
4630,117,Horse-gram,2012,136118,1761,Rabi       ,24.84
4631,145,Jowar,2012,136118,1761,Rabi       ,25.65
4632,25554,Maize,2012,50057,1761,Rabi       ,22.16
4633,6372,Moong(Green Gram),2012,50057,1761,Rabi       ,21.02
4634,2,Onion,2012,50057,1761,Rabi       ,18.8
4635,622,Rapeseed &Mustard,2012,50057,1761,Rabi       ,18.8
4636,98951,Rice,2012,50057,1761,Rabi       ,28.21
4637,860,Sesamum,2012,50057,1761,Rabi       ,21.02
4638,8,Sunflower,2012,50057,1761,Rabi       ,27.34
4639,9,Sweet potato,2012,50057,1761,Rabi       ,19.72
4640,1591,Tobacco,2012,50057,1761,Rabi       ,26.13
4641,587,Tomato,2012,50057,1761,Rabi       ,24.84
4642,94374,Urad,2012,50057,1761,Rabi       ,25.65
4643,1266,Banana,2012,274457,1761,Whole Year ,22.16
4644,122,Cashewnut,2012,274457,1761,Whole Year ,21.02
4645,20,Castor seed,2012,274457,1761,Whole Year ,18.8
4646,2053,Coconut ,2012,274457,1761,Whole Year ,18.8
4647,53,Dry ginger,2012,274457,1761,Whole Year ,28.21
4648,9,Sweet potato,2012,274457,1761,Whole Year ,21.02
4649,607,Arhar/Tur,2012,274457,1761,Kharif     ,27.34
4650,578,Brinjal,2012,274457,1761,Kharif     ,19.72
4651,57,Cabbage,2012,274457,1761,Kharif     ,26.13
4652,115,Cashewnut,2012,274457,1761,Kharif     ,24.84
4653,55571,Cotton(lint),2012,274457,1761,Kharif     ,25.65
4654,8456,Dry chillies,2012,47860,1761,Kharif     ,22.16
4655,53,Dry ginger,2012,47860,1761,Kharif     ,21.02
4656,999,Groundnut,2012,47860,1761,Kharif     ,18.8
4657,626,Lemon,2012,47860,1761,Kharif     ,18.8
4658,4682,Maize,2012,47860,1761,Kharif     ,28.21
4659,58445,Mango,2012,47860,1761,Kharif     ,21.02
4660,2147,Moong(Green Gram),2012,47860,1761,Kharif     ,27.34
4661,5709,other oilseeds,2012,47860,1761,Kharif     ,19.72
4662,121,Papaya,2012,47860,1761,Kharif     ,26.13
4663,11,Pome Granet,2012,47860,1761,Kharif     ,24.84
4664,235212,Rice,2012,47860,1761,Kharif     ,25.65
4665,541,Sapota,2012,29317,1761,Kharif     ,22.16
4666,70,Sesamum,2012,29317,1761,Kharif     ,21.02
4667,16719,Sugarcane,2012,29317,1761,Kharif     ,18.8
4668,439,Tomato,2012,29317,1761,Kharif     ,18.8
4669,1887,Turmeric,2012,29317,1761,Kharif     ,28.21
4670,841,Urad,2012,29317,1761,Kharif     ,21.02
4671,519,Brinjal,2012,29317,1761,Rabi       ,27.34
4672,91,Cabbage,2012,29317,1761,Rabi       ,19.72
4673,20,Castor seed,2012,29317,1761,Rabi       ,26.13
4674,827,Dry chillies,2012,29317,1761,Rabi       ,24.84
4675,769,Gram,2012,29317,1761,Rabi       ,25.65
4676,845,Groundnut,2012,26366,1761,Rabi       ,22.16
4677,755,Horse-gram,2012,26366,1761,Rabi       ,21.02
4678,524,Jowar,2012,26366,1761,Rabi       ,18.8
4679,20950,Maize,2012,26366,1761,Rabi       ,18.8
4680,15572,Moong(Green Gram),2012,26366,1761,Rabi       ,28.21
4681,13,Onion,2012,26366,1761,Rabi       ,21.02
4682,890,Rapeseed &Mustard,2012,26366,1761,Rabi       ,27.34
4683,52830,Rice,2012,26366,1761,Rabi       ,19.72
4684,1279,Sesamum,2012,26366,1761,Rabi       ,26.13
4685,15,Sunflower,2012,26366,1761,Rabi       ,24.84
4686,7,Sweet potato,2012,26366,1761,Rabi       ,25.65
4687,2006,Tobacco,2012,121926,1761,Rabi       ,22.16
4688,538,Tomato,2012,121926,1761,Rabi       ,21.02
4689,124853,Urad,2012,121926,1761,Rabi       ,18.8
4690,1829,Coconut ,2012,121926,1761,Whole Year ,18.8
4691,288042,Rice,2012,121926,1761,Whole Year ,28.21
4692,20900,Arhar/Tur,2012,121926,1761,Kharif     ,21.02
4693,11600,Bajra,2012,121926,1761,Kharif     ,27.34
4694,90400,Cotton(lint),2012,121926,1761,Kharif     ,19.72
4695,8000,Dry chillies,2012,121926,1761,Kharif     ,26.13
4696,201200,Groundnut,2012,121926,1761,Kharif     ,24.84
4697,9600,Jowar,2012,121926,1761,Kharif     ,25.65
4698,21700,Korra,2012,23100,1761,Kharif     ,22.16
4699,1000,Maize,2012,23100,1761,Kharif     ,21.02
4700,3000,Moong(Green Gram),2012,23100,1761,Kharif     ,18.8
4701,100,Ragi,2012,23100,1761,Kharif     ,18.8
4702,66300,Rice,2012,23100,1761,Kharif     ,28.21
4703,100,Sugarcane,2012,23100,1761,Kharif     ,21.02
4704,81700,Sunflower,2012,23100,1761,Kharif     ,27.34
4705,23000,Tobacco,2012,23100,1761,Kharif     ,19.72
4706,600,Urad,2012,23100,1761,Kharif     ,26.13
4707,100,Arhar/Tur,2012,23100,1761,Rabi       ,24.84
4708,300,Dry chillies,2012,23100,1761,Rabi       ,25.65
4709,48300,Gram,2012,97619,1761,Rabi       ,22.16
4710,31900,Groundnut,2012,97619,1761,Rabi       ,21.02
4711,2000,Horse-gram,2012,97619,1761,Rabi       ,18.8
4712,113800,Jowar,2012,97619,1761,Rabi       ,18.8
4713,100,Maize,2012,97619,1761,Rabi       ,28.21
4714,500,Moong(Green Gram),2012,97619,1761,Rabi       ,21.02
4715,9000,Rice,2012,97619,1761,Rabi       ,27.34
4716,61100,Sunflower,2012,97619,1761,Rabi       ,19.72
4717,1900,Urad,2012,97619,1761,Rabi       ,26.13
4718,600,Wheat,2012,97619,1761,Rabi       ,24.84
4719,26400,Arhar/Tur,2012,97619,1761,Kharif     ,25.65
4720,17700,Bajra,2013,140795,1761,Kharif     ,21.59
4721,800,Castor seed,2013,140795,1761,Kharif     ,20.07
4722,153700,Cotton(lint),2013,140795,1761,Kharif     ,17.57
4723,10300,Dry chillies,2013,140795,1761,Kharif     ,17.57
4724,209100,Groundnut,2013,140795,1761,Kharif     ,27.71
4725,9400,Jowar,2013,140795,1761,Kharif     ,20.07
4726,27500,Korra,2013,140795,1761,Kharif     ,27.11
4727,700,Maize,2013,140795,1761,Kharif     ,17.84
4728,4700,Moong(Green Gram),2013,140795,1761,Kharif     ,26.4
4729,100,Other Kharif pulses,2013,140795,1761,Kharif     ,25.19
4730,75100,Rice,2013,140795,1761,Kharif     ,26.14
4731,100,Sesamum,2013,52536,1761,Kharif     ,21.59
4732,58300,Sunflower,2013,52536,1761,Kharif     ,20.07
4733,600,Urad,2013,52536,1761,Kharif     ,17.57
4734,600,Arhar/Tur,2013,52536,1761,Rabi       ,17.57
4735,300,Bajra,2013,52536,1761,Rabi       ,27.71
4736,500,Dry chillies,2013,52536,1761,Rabi       ,20.07
4737,54400,Gram,2013,52536,1761,Rabi       ,27.11
4738,40100,Groundnut,2013,52536,1761,Rabi       ,17.84
4739,2300,Horse-gram,2013,52536,1761,Rabi       ,26.4
4740,90200,Jowar,2013,52536,1761,Rabi       ,25.19
4741,100,Korra,2013,52536,1761,Rabi       ,26.14
4742,100,Maize,2013,277517,1761,Rabi       ,21.59
4743,1300,Moong(Green Gram),2013,277517,1761,Rabi       ,20.07
4744,20900,Rice,2013,277517,1761,Rabi       ,17.57
4745,600,Sesamum,2013,277517,1761,Rabi       ,17.57
4746,71200,Sunflower,2013,277517,1761,Rabi       ,27.71
4747,3100,Urad,2013,277517,1761,Rabi       ,20.07
4748,700,Wheat,2013,277517,1761,Rabi       ,27.11
4749,200,Sugarcane,2013,277517,1761,Whole Year ,17.84
4750,22100,Tobacco,2013,277517,1761,Whole Year ,26.4
4751,15261,Bajra,2013,277517,1761,Kharif     ,25.19
4752,1598,Castor seed,2013,277517,1761,Kharif     ,26.14
4753,106402,Cotton(lint),2013,50071,1761,Kharif     ,21.59
4754,195335,Groundnut,2013,50071,1761,Kharif     ,20.07
4755,15,Horse-gram,2013,50071,1761,Kharif     ,17.57
4756,12603,Jowar,2013,50071,1761,Kharif     ,17.57
4757,669,Maize,2013,50071,1761,Kharif     ,27.71
4758,28051,Masoor,2013,50071,1761,Kharif     ,20.07
4759,6972,Moong(Green Gram),2013,50071,1761,Kharif     ,27.11
4760,73,Ragi,2013,50071,1761,Kharif     ,17.84
4761,81640,Rice,2013,50071,1761,Kharif     ,26.4
4762,402,Sesamum,2013,50071,1761,Kharif     ,25.19
4763,1578,Urad,2013,50071,1761,Kharif     ,26.14
4764,559,Bajra,2013,26817,1761,Rabi       ,21.59
4765,61739,Gram,2013,26817,1761,Rabi       ,20.07
4766,30282,Groundnut,2013,26817,1761,Rabi       ,17.57
4767,1620,Horse-gram,2013,26817,1761,Rabi       ,17.57
4768,105751,Jowar,2013,26817,1761,Rabi       ,27.71
4769,6,Linseed,2013,26817,1761,Rabi       ,20.07
4770,134,Maize,2013,26817,1761,Rabi       ,27.11
4771,325,Masoor,2013,26817,1761,Rabi       ,17.84
4772,400,Moong(Green Gram),2013,26817,1761,Rabi       ,26.4
4773,1968,Rapeseed &Mustard,2013,26817,1761,Rabi       ,25.19
4774,12430,Rice,2013,26817,1761,Rabi       ,26.14
4775,2208,Safflower,2013,29285,1761,Rabi       ,21.59
4776,361,Sesamum,2013,29285,1761,Rabi       ,20.07
4777,1332,Urad,2013,29285,1761,Rabi       ,17.57
4778,789,Wheat,2013,29285,1761,Rabi       ,17.57
4779,13207,Dry chillies,2013,29285,1761,Whole Year ,27.71
4780,10678,Onion,2013,29285,1761,Whole Year ,20.07
4781,176,Sugarcane,2013,29285,1761,Whole Year ,27.11
4782,61,Tobacco,2013,29285,1761,Whole Year ,17.84
4783,38108,Arhar/Tur,2013,29285,1761,Kharif     ,26.4
4784,18718,Bajra,2013,29285,1761,Kharif     ,25.19
4785,19382,Castor seed,2013,29285,1761,Kharif     ,26.14
4786,118754,Cotton(lint),2013,130913,1761,Kharif     ,21.59
4787,13092,Dry chillies,2013,130913,1761,Kharif     ,20.07
4788,207639,Groundnut,2013,130913,1761,Kharif     ,17.57
4789,32,Horse-gram,2013,130913,1761,Kharif     ,17.57
4790,7662,Jowar,2013,130913,1761,Kharif     ,27.71
4791,24947,Korra,2013,130913,1761,Kharif     ,20.07
4792,2635,Maize,2013,130913,1761,Kharif     ,27.11
4793,8588,Moong(Green Gram),2013,130913,1761,Kharif     ,17.84
4794,12,Niger seed,2013,130913,1761,Kharif     ,26.4
4795,8564,Onion,2013,130913,1761,Kharif     ,25.19
4796,349,Other Kharif pulses,2013,130913,1761,Kharif     ,26.14
4797,75,other misc. pulses,2013,27491,1761,Kharif     ,21.59
4798,43,Ragi,2013,27491,1761,Kharif     ,20.07
4799,93188,Rice,2013,27491,1761,Kharif     ,17.57
4800,22,Samai,2013,27491,1761,Kharif     ,17.57
4801,365,Sesamum,2013,27491,1761,Kharif     ,27.71
4802,24969,Small millets,2013,27491,1761,Kharif     ,20.07
4803,98381,Sunflower,2013,27491,1761,Kharif     ,27.11
4804,2971,Urad,2013,27491,1761,Kharif     ,17.84
4805,336,Arhar/Tur,2013,27491,1761,Rabi       ,26.4
4806,504,Bajra,2013,27491,1761,Rabi       ,25.19
4807,249,Dry chillies,2013,27491,1761,Rabi       ,26.14
4808,65868,Gram,2013,96078,1761,Rabi       ,21.59
4809,33563,Groundnut,2013,96078,1761,Rabi       ,20.07
4810,1361,Horse-gram,2013,96078,1761,Rabi       ,17.57
4811,86644,Jowar,2013,96078,1761,Rabi       ,17.57
4812,39,Korra,2013,96078,1761,Rabi       ,27.71
4813,6,Linseed,2013,96078,1761,Rabi       ,20.07
4814,175,Maize,2013,96078,1761,Rabi       ,27.11
4815,274,Moong(Green Gram),2013,96078,1761,Rabi       ,17.84
4816,1098,Onion,2013,96078,1761,Rabi       ,26.4
4817,26,Other  Rabi pulses,2013,96078,1761,Rabi       ,25.19
4818,12,other misc. pulses,2013,96078,1761,Rabi       ,26.14
4819,2610,Rapeseed &Mustard,1990,28771,608,Rabi       ,9.51
4820,13909,Rice,1990,104986,608,Rabi       ,9.51
4821,3374,Safflower,1990,23785,608,Rabi       ,9.51
4822,126,Sesamum,1990,17778,608,Rabi       ,9.51
4823,39,Small millets,1990,8830,608,Rabi       ,9.51
4824,2465,Urad,1990,45514,608,Rabi       ,9.51
4825,850,Wheat,1991,49551,608,Rabi       ,8.14
4826,2327,Banana,1991,117017,608,Whole Year ,8.14
4827,99,Coconut ,1991,25397,608,Whole Year ,8.14
4828,19621,Coriander,1991,17897,608,Whole Year ,8.14
4829,47,Sugarcane,1991,18800,608,Whole Year ,8.14
4830,5,Sweet potato,1991,37480,608,Whole Year ,8.14
4831,13264,Tobacco,1992,28128,608,Whole Year ,9.07
4832,1324,Turmeric,1992,118262,608,Whole Year ,9.07
4833,26743,Arhar/Tur,1992,32042,608,Kharif     ,9.07
4834,13932,Bajra,1992,17965,608,Kharif     ,9.07
4835,7013,Castor seed,1992,8070,608,Kharif     ,9.07
4836,82631,Cotton(lint),1992,31071,608,Kharif     ,9.07
4837,14427,Dry chillies,1993,18609,608,Kharif     ,9
4838,10,Gram,1993,90807,608,Kharif     ,9
4839,175910,Groundnut,1993,34761,608,Kharif     ,9
4840,4,Horse-gram,1993,17297,608,Kharif     ,9
4841,6577,Jowar,1993,6742,608,Kharif     ,9
4842,19640,Korra,1993,28580,608,Kharif     ,9
4843,785,Maize,1994,28056,608,Kharif     ,10.23
4844,120,Mesta,1994,105070,608,Kharif     ,10.23
4845,2537,Moong(Green Gram),1994,37195,608,Kharif     ,10.23
4846,9130,Onion,1994,17368,608,Kharif     ,10.23
4847,643,Other Kharif pulses,1994,9402,608,Kharif     ,10.23
4848,33,Ragi,1994,28447,608,Kharif     ,10.23
4849,43617,Rice,1995,38237,608,Kharif     ,8.69
4850,17,Samai,1995,116617,608,Kharif     ,8.69
4851,113,Sesamum,1995,36116,608,Kharif     ,8.69
4852,19657,Small millets,1995,14583,608,Kharif     ,8.69
4853,133400,Sunflower,1995,9043,608,Kharif     ,8.69
4854,6601,Urad,1995,29085,608,Kharif     ,8.69
4855,958,Arhar/Tur,1996,21810,608,Rabi       ,8.44
4856,184,Bajra,1996,80623,608,Rabi       ,8.44
4857,557,Dry chillies,1996,33891,608,Rabi       ,8.44
4858,107059,Gram,1996,13158,608,Rabi       ,8.44
4859,33333,Groundnut,1996,5742,608,Rabi       ,8.44
4860,1681,Horse-gram,1996,18818,608,Rabi       ,8.44
4861,86436,Jowar,1997,35782,608,Rabi       ,8.26
4862,18,Korra,1997,104537,608,Rabi       ,8.26
4863,131,Maize,1997,29871,608,Rabi       ,8.26
4864,398,Moong(Green Gram),1997,25429,608,Rabi       ,8.26
4865,1474,Onion,1997,9750,608,Rabi       ,8.26
4866,10,Other  Rabi pulses,1997,29502,608,Rabi       ,8.26
4867,1071,Rapeseed &Mustard,1998,27318,608,Rabi       ,9.16
4868,38162,Rice,1998,94041,608,Rabi       ,9.16
4869,2063,Safflower,1998,31467,608,Rabi       ,9.16
4870,74,Sesamum,1998,23235,608,Rabi       ,9.16
4871,18,Small millets,1998,5379,608,Rabi       ,9.16
4872,7536,Urad,1998,28058,608,Rabi       ,9.16
4873,1264,Wheat,1999,38239,608,Rabi       ,9.67
4874,2704,Banana,1999,108475,608,Whole Year ,9.67
4875,110,Coconut ,1999,49400,608,Whole Year ,9.67
4876,25112,Coriander,1999,27500,608,Whole Year ,9.67
4877,48,Sugarcane,1999,8333,608,Whole Year ,9.67
4878,16,Sweet potato,1999,27352,608,Whole Year ,9.67
4879,13217,Tobacco,2000,17239,608,Whole Year ,9.9
4880,878,Turmeric,2000,75262,608,Whole Year ,9.9
4881,31397,Arhar/Tur,2000,47001,608,Kharif     ,9.9
4882,10352,Bajra,2000,20732,608,Kharif     ,9.9
4883,4756,Castor seed,2000,6667,608,Kharif     ,9.9
4884,55276,Cotton(lint),2000,28421,608,Kharif     ,9.9
4885,10201,Dry chillies,2001,24713,608,Kharif     ,9.55
4886,167944,Groundnut,2001,123921,608,Kharif     ,9.55
4887,2,Horse-gram,2001,48001,608,Kharif     ,9.55
4888,2112,Jowar,2001,20698,608,Kharif     ,9.55
4889,14000,Korra,2001,10000,608,Kharif     ,9.55
4890,1966,Maize,2001,30081,608,Kharif     ,9.55
4891,86,Mesta,2002,42364,608,Kharif     ,9.6
4892,5716,Moong(Green Gram),2002,120894,608,Kharif     ,9.6
4893,8365,Onion,2002,43099,608,Kharif     ,9.6
4894,10,Ragi,2002,21044,608,Kharif     ,9.6
4895,47948,Rice,2002,14299,608,Kharif     ,9.6
4896,93,Sesamum,2002,30123,608,Kharif     ,9.6
4897,14091,Small millets,2004,55400,608,Kharif     ,9.18
4898,192119,Sunflower,2004,186855,608,Kharif     ,9.18
4899,3049,Urad,2004,49596,608,Kharif     ,9.18
4900,622,Arhar/Tur,2004,20997,608,Rabi       ,9.18
4901,362,Bajra,2004,18768,608,Rabi       ,9.18
4902,792,Dry chillies,2004,38100,608,Rabi       ,9.18
4903,143953,Gram,2005,53085,608,Rabi       ,8.58
4904,18980,Groundnut,2005,156448,608,Rabi       ,8.58
4905,1248,Horse-gram,2005,44801,608,Rabi       ,8.58
4906,100721,Jowar,2005,20400,608,Rabi       ,8.58
4907,2,Linseed,2005,22239,608,Rabi       ,8.58
4908,631,Maize,2005,31567,608,Rabi       ,8.58
4909,486,Moong(Green Gram),2006,45328,608,Rabi       ,9.08
4910,1290,Onion,2006,157758,608,Rabi       ,9.08
4911,1085,Rapeseed &Mustard,2006,44080,608,Rabi       ,9.08
4912,10974,Rice,2006,22752,608,Rabi       ,9.08
4913,1642,Safflower,2006,15568,608,Rabi       ,9.08
4914,154,Sesamum,2006,34026,608,Rabi       ,9.08
4915,15,Small millets,2007,61244,608,Rabi       ,10.23
4916,7074,Urad,2007,133197,608,Rabi       ,10.23
4917,941,Wheat,2007,46447,608,Rabi       ,10.23
4918,1862,Banana,2007,11108,608,Whole Year ,10.23
4919,356,Beans & Mutter(Vegetable),2007,6018,608,Whole Year ,10.23
4920,6908,Bhindi,2007,21973,608,Whole Year ,10.23
4921,2,Bottle Gourd,2008,41548,608,Whole Year ,9.9
4922,997,Brinjal,2008,162618,608,Whole Year ,9.9
4923,2,Cabbage,2008,49621,608,Whole Year ,9.9
4924,98,Citrus Fruit,2008,19316,608,Whole Year ,9.9
4925,100,Coconut ,2008,13358,608,Whole Year ,9.9
4926,17839,Coriander,2008,41674,608,Whole Year ,9.9
4927,141,Cucumber,2009,47071,608,Whole Year ,9.74
4928,3021,Mango,2009,165508,608,Whole Year ,9.74
4929,769,Orange,2009,52263,608,Whole Year ,9.74
4930,549,Other Fresh Fruits,2009,24836,608,Whole Year ,9.74
4931,1481,Other Vegetables,2009,9662,608,Whole Year ,9.74
4932,186,Papaya,2009,31873,608,Whole Year ,9.74
4933,139,Pome Fruit,2010,62512,608,Whole Year ,9.65
4934,1,Potato,2010,181967,608,Whole Year ,9.65
4935,80,Sugarcane,2010,47952,608,Whole Year ,9.65
4936,17,Sweet potato,2010,24314,608,Whole Year ,9.65
4937,7240,Tobacco,2010,22717,608,Whole Year ,9.65
4938,21469,Tomato,2010,36185,608,Whole Year ,9.65
4939,878,Turmeric,2011,55310,608,Whole Year ,9.17
4940,33380,Arhar/Tur,2011,143236,608,Kharif     ,9.17
4941,14793,Bajra,2011,50563,608,Kharif     ,9.17
4942,11557,Castor seed,2011,19536,608,Kharif     ,9.17
4943,39274,Cotton(lint),2011,11565,608,Kharif     ,9.17
4944,11597,Dry chillies,2011,39197,608,Kharif     ,9.17
4945,172279,Groundnut,2012,36800,608,Kharif     ,9.99
4946,8,Horse-gram,2012,101515,608,Kharif     ,9.99
4947,13685,Jowar,2012,55605,608,Kharif     ,9.99
4948,17008,Korra,2012,20205,608,Kharif     ,9.99
4949,3534,Maize,2012,7903,608,Kharif     ,9.99
4950,11210,Moong(Green Gram),2012,37596,608,Kharif     ,9.99
4951,9665,Onion,2013,63943,608,Kharif     ,11.26
4952,99,Other Kharif pulses,2013,146125,608,Kharif     ,11.26
4953,7,Ragi,2013,54945,608,Kharif     ,11.26
4954,34618,Rice,2013,26792,608,Kharif     ,11.26
4955,429,Sesamum,2013,17976,608,Kharif     ,11.26
4956,16995,Small millets,2013,41885,608,Kharif     ,11.26
4957,216637,Sunflower,1990,29600,748,Kharif     ,28.77
4958,1586,Urad,1990,14612,748,Kharif     ,28.77
4959,197,Arhar/Tur,1990,61985,748,Rabi       ,28.77
4960,236,Bajra,1990,20783,748,Rabi       ,28.77
4961,932,Dry chillies,1990,5827,748,Rabi       ,28.77
4962,139705,Gram,1990,4667,748,Rabi       ,28.77
4963,17180,Groundnut,1990,67598,748,Rabi       ,28.77
4964,1143,Horse-gram,1990,66250,748,Rabi       ,28.77
4965,104115,Jowar,1991,24558,748,Rabi       ,28.4
4966,1,Linseed,1991,16868,748,Rabi       ,28.4
4967,1490,Maize,1991,61898,748,Rabi       ,28.4
4968,77,Moong(Green Gram),1991,21444,748,Rabi       ,28.4
4969,1184,Onion,1991,9092,748,Rabi       ,28.4
4970,26,Other  Rabi pulses,1991,5000,748,Rabi       ,28.4
4971,13,other oilseeds,1991,55862,748,Rabi       ,28.4
4972,145,Rapeseed &Mustard,1991,60833,748,Rabi       ,28.4
4973,4966,Rice,1992,21429,748,Rabi       ,28.06
4974,2420,Safflower,1992,15238,748,Rabi       ,28.06
4975,78,Sesamum,1992,60637,748,Rabi       ,28.06
4976,13,Small millets,1992,18831,748,Rabi       ,28.06
4977,951,Urad,1992,9437,748,Rabi       ,28.06
4978,694,Wheat,1992,5882,748,Rabi       ,28.06
4979,2960,Banana,1992,56904,748,Whole Year ,28.06
4980,686,Beans & Mutter(Vegetable),1992,11475,748,Whole Year ,28.06
4981,5506,Bhindi,1993,19455,748,Whole Year ,28.58
4982,36,Bottle Gourd,1993,13722,748,Whole Year ,28.58
4983,1495,Brinjal,1993,62308,748,Whole Year ,28.58
4984,11,Cabbage,1993,21630,748,Whole Year ,28.58
4985,114,Citrus Fruit,1993,11027,748,Whole Year ,28.58
4986,86,Coconut ,1993,14628,748,Whole Year ,28.58
4987,15401,Coriander,1993,50965,748,Whole Year ,28.58
4988,399,Cucumber,1993,59603,748,Whole Year ,28.58
4989,4,Grapes,1994,20000,748,Whole Year ,28
4990,4174,Mango,1994,16042,748,Whole Year ,28
4991,910,Orange,1994,61538,748,Whole Year ,28
4992,581,Other Fresh Fruits,1994,19582,748,Whole Year ,28
4993,2392,Other Vegetables,1994,7793,748,Whole Year ,28
4994,187,Papaya,1994,9595,748,Whole Year ,28
4995,148,Pome Fruit,1994,55351,748,Whole Year ,28
4996,435,Sugarcane,1994,53043,748,Whole Year ,28
4997,15,Sweet potato,1995,20000,748,Whole Year ,28.46
4998,13777,Tobacco,1995,11441,748,Whole Year ,28.46
4999,19358,Tomato,1995,62500,748,Whole Year ,28.46
5000,691,Turmeric,1995,19249,748,Whole Year ,28.46
5001,33205,Arhar/Tur,1995,8758,748,Kharif     ,28.46
5002,10376,Bajra,1995,27319,748,Kharif     ,28.46
5003,10144,Castor seed,1995,36755,748,Kharif     ,28.46
5004,74578,Cotton(lint),1995,69212,748,Kharif     ,28.46
5005,16951,Dry chillies,1996,20489,748,Kharif     ,28.74
5006,181856,Groundnut,1996,15521,748,Kharif     ,28.74
5007,16448,Jowar,1996,28605,748,Kharif     ,28.74
5008,7241,Maize,1996,23883,748,Kharif     ,28.74
5009,5551,Moong(Green Gram),1996,9095,748,Kharif     ,28.74
5010,13121,Onion,1996,10710,748,Kharif     ,28.74
5011,103,Other Kharif pulses,1996,62201,748,Kharif     ,28.74
5012,16,Ragi,1996,73799,748,Kharif     ,28.74
5013,61465,Rice,1997,20557,748,Kharif     ,28.52
5014,199,Sesamum,1997,15185,748,Kharif     ,28.52
5015,14814,Small millets,1997,23981,748,Kharif     ,28.52
5016,201629,Sunflower,1997,15750,748,Kharif     ,28.52
5017,1017,Urad,1997,6804,748,Kharif     ,28.52
5018,318,Arhar/Tur,1997,9514,748,Rabi       ,28.52
5019,760,Bajra,1997,52003,748,Rabi       ,28.52
5020,468,Dry chillies,1997,69169,748,Rabi       ,28.52
5021,110677,Gram,1998,20706,748,Rabi       ,28.95
5022,19367,Groundnut,1998,13919,748,Rabi       ,28.95
5023,981,Horse-gram,1998,24321,748,Rabi       ,28.95
5024,86637,Jowar,1998,19388,748,Rabi       ,28.95
5025,6,Linseed,1998,8541,748,Rabi       ,28.95
5026,769,Maize,1998,10308,748,Rabi       ,28.95
5027,258,Moong(Green Gram),1998,56110,748,Rabi       ,28.95
5028,953,Onion,1998,66929,748,Rabi       ,28.95
5029,37,Other  Rabi pulses,1999,20902,748,Rabi       ,28.45
5030,1557,Rapeseed &Mustard,1999,16241,748,Rabi       ,28.45
5031,12058,Rice,1999,22000,748,Rabi       ,28.45
5032,1070,Safflower,1999,24824,748,Rabi       ,28.45
5033,114,Sesamum,1999,8857,748,Rabi       ,28.45
5034,11,Small millets,1999,13310,748,Rabi       ,28.45
5035,120469,Sunflower,1999,84033,748,Rabi       ,28.45
5036,2158,Urad,1999,65350,748,Rabi       ,28.45
5037,393,Wheat,2000,21037,748,Rabi       ,28.6
5038,1302,Banana,2000,17543,748,Whole Year ,28.6
5039,64,Coconut ,2000,21233,748,Whole Year ,28.6
5040,9147,Coriander,2000,25675,748,Whole Year ,28.6
5041,142,Potato,2000,8295,748,Whole Year ,28.6
5042,393,Sugarcane,2000,8519,748,Whole Year ,28.6
5043,26,Sweet potato,2000,133168,748,Whole Year ,28.6
5044,12981,Tobacco,2000,82928,748,Whole Year ,28.6
5045,1568,Turmeric,2001,21388,748,Whole Year ,28.77
5046,35437,Arhar/Tur,2001,18115,748,Kharif     ,28.77
5047,10949,Bajra,2001,15852,748,Kharif     ,28.77
5048,21372,Castor seed,2001,18795,748,Kharif     ,28.77
5049,24333,Cotton(lint),2001,9278,748,Kharif     ,28.77
5050,8426,Dry chillies,2001,13053,748,Kharif     ,28.77
5051,224525,Groundnut,2001,78415,748,Kharif     ,28.77
5052,25,Horse-gram,2001,69481,748,Kharif     ,28.77
5053,20905,Jowar,2002,21551,748,Kharif     ,28.97
5054,8188,Maize,2002,17381,748,Kharif     ,28.97
